symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason
TATASTEEL-EQ,2025-12-13 14:37:00+05:30,2025-12-13 14:37:00+05:30,172.0,172.0,1,Double Top,-0.3439999999999941,-0.19980019980019637,stop_loss
SUNPHARMA-EQ,2025-12-13 14:38:00+05:30,2025-12-13 14:38:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:38:00+05:30,2025-12-13 14:38:00+05:30,172.0,172.0,1,Double Top,-0.3439999999999941,-0.19980019980019637,stop_loss
SUNPHARMA-EQ,2025-12-13 14:39:00+05:30,2025-12-13 14:39:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:39:00+05:30,2025-12-13 14:39:00+05:30,172.0,172.0,1,Double Top,-0.3439999999999941,-0.19980019980019637,stop_loss
SUNPHARMA-EQ,2025-12-13 14:40:00+05:30,2025-12-13 14:40:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:40:00+05:30,2025-12-13 14:40:00+05:30,172.0,172.0,1,Double Top,-0.3439999999999941,-0.19980019980019637,stop_loss
SUNPHARMA-EQ,2025-12-13 14:41:00+05:30,2025-12-13 14:41:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:41:00+05:30,2025-12-13 14:41:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
SUNPHARMA-EQ,2025-12-13 14:42:00+05:30,2025-12-13 14:42:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:42:00+05:30,2025-12-13 14:42:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
SUNPHARMA-EQ,2025-12-13 14:43:00+05:30,2025-12-13 14:43:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:43:00+05:30,2025-12-13 14:43:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
SUNPHARMA-EQ,2025-12-13 14:44:00+05:30,2025-12-13 14:44:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:44:00+05:30,2025-12-13 14:44:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
SUNPHARMA-EQ,2025-12-13 14:45:00+05:30,2025-12-13 14:45:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:45:00+05:30,2025-12-13 14:45:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
SUNPHARMA-EQ,2025-12-13 14:46:00+05:30,2025-12-13 14:46:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:46:00+05:30,2025-12-13 14:46:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
SUNPHARMA-EQ,2025-12-13 14:47:00+05:30,2025-12-13 14:47:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:47:00+05:30,2025-12-13 14:47:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
SUNPHARMA-EQ,2025-12-13 14:48:00+05:30,2025-12-13 14:48:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:48:00+05:30,2025-12-13 14:48:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
RELIANCE-EQ,2025-12-13 14:49:00+05:30,2025-12-13 14:49:00+05:30,1650.0,1650.0,1,Bear Flag,-3.300000000000182,-0.19980019980021083,stop_loss
SUNPHARMA-EQ,2025-12-13 14:49:00+05:30,2025-12-13 14:49:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:49:00+05:30,2025-12-13 14:49:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
RELIANCE-EQ,2025-12-13 14:50:00+05:30,2025-12-13 14:50:00+05:30,1650.0,1650.0,1,Symmetrical Triangle,-3.300000000000182,-0.19980019980021083,stop_loss
SUNPHARMA-EQ,2025-12-13 14:50:00+05:30,2025-12-13 14:50:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATAMOTORS-EQ,2025-12-13 14:33:00+05:30,2025-12-13 14:50:00+05:30,352.45,340.2,4,Double Bottom,-51.77059999999983,-3.668526111425802,stop_loss
TATASTEEL-EQ,2025-12-13 14:50:00+05:30,2025-12-13 14:50:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
RELIANCE-EQ,2025-12-13 14:51:00+05:30,2025-12-13 14:51:00+05:30,1660.0,1660.0,2,Symmetrical Triangle,-6.640000000000327,-0.19980019980020963,stop_loss
ASIANPAINT-EQ,2025-12-13 14:51:00+05:30,2025-12-13 14:51:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 14:51:00+05:30,2025-12-13 14:51:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATAMOTORS-EQ,2025-12-13 14:51:00+05:30,2025-12-13 14:51:00+05:30,340.2,340.2,2,Double Top,-1.3607999999999265,-0.19980019980018904,stop_loss
TATASTEEL-EQ,2025-12-13 14:51:00+05:30,2025-12-13 14:51:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
RELIANCE-EQ,2025-12-13 14:52:00+05:30,2025-12-13 14:52:00+05:30,1650.0,1650.0,1,Bear Flag,-3.300000000000182,-0.19980019980021083,stop_loss
ASIANPAINT-EQ,2025-12-13 14:52:00+05:30,2025-12-13 14:52:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 14:52:00+05:30,2025-12-13 14:52:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATAMOTORS-EQ,2025-12-13 14:52:00+05:30,2025-12-13 14:52:00+05:30,340.2,340.2,2,Double Top,-1.3607999999999265,-0.19980019980018904,stop_loss
TATASTEEL-EQ,2025-12-13 14:52:00+05:30,2025-12-13 14:52:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
RELIANCE-EQ,2025-12-13 14:53:00+05:30,2025-12-13 14:53:00+05:30,1650.0,1650.0,1,Symmetrical Triangle,-3.300000000000182,-0.19980019980021083,stop_loss
ASIANPAINT-EQ,2025-12-13 14:53:00+05:30,2025-12-13 14:53:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 14:53:00+05:30,2025-12-13 14:53:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:53:00+05:30,2025-12-13 14:53:00+05:30,176.89,176.89,1,Double Top,-0.353779999999972,-0.19980019980018401,stop_loss
ASIANPAINT-EQ,2025-12-13 14:54:00+05:30,2025-12-13 14:54:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 14:54:00+05:30,2025-12-13 14:54:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
RELIANCE-EQ,2025-12-13 14:55:00+05:30,2025-12-13 14:56:00+05:30,1667.0,1670.0,2,Double Bottom,-0.6739999999999782,-0.02019576104759003,target
ASIANPAINT-EQ,2025-12-13 14:56:00+05:30,2025-12-13 14:56:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 14:56:00+05:30,2025-12-13 14:56:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
RELIANCE-EQ,2025-12-13 14:57:00+05:30,2025-12-13 14:57:00+05:30,1670.0,1670.0,1,Double Bottom,-3.3400000000001455,-0.19980019980020852,target
INFY-EQ,2025-12-13 12:22:00+05:30,2025-12-13 14:57:00+05:30,1609.9,1917.8,1,Bull Flag,304.3723,18.88739870602098,target
ASIANPAINT-EQ,2025-12-13 14:57:00+05:30,2025-12-13 14:57:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 14:57:00+05:30,2025-12-13 14:57:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
RELIANCE-EQ,2025-12-13 14:58:00+05:30,2025-12-13 14:58:00+05:30,1670.0,1670.0,2,Double Bottom,-6.680000000000291,-0.19980019980020852,target
ITC-EQ,2025-12-13 14:58:00+05:30,2025-12-13 14:58:00+05:30,375.0,375.0,1,Double Top,-0.75,-0.1998001998001998,stop_loss
ASIANPAINT-EQ,2025-12-13 14:58:00+05:30,2025-12-13 14:58:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 14:58:00+05:30,2025-12-13 14:58:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
RELIANCE-EQ,2025-12-13 14:59:00+05:30,2025-12-13 14:59:00+05:30,1670.0,1670.0,2,Double Bottom,-6.680000000000291,-0.19980019980020852,target
ITC-EQ,2025-12-13 14:59:00+05:30,2025-12-13 14:59:00+05:30,375.0,375.0,1,Double Top,-0.75,-0.1998001998001998,stop_loss
ASIANPAINT-EQ,2025-12-13 14:59:00+05:30,2025-12-13 14:59:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 14:59:00+05:30,2025-12-13 14:59:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
RELIANCE-EQ,2025-12-13 15:00:00+05:30,2025-12-13 15:00:00+05:30,1720.1,1720.1,1,Double Bottom,-3.4402000000000044,-0.19980019980020006,target
